form	lemma	POS	morph
སྐབས་གསུམ་པ་	སྐབས་གསུམ་པ་	NO_POS
བདེན་པ་	བདེན་པ་	VERB
ར་	ལ་	PART
ཆགས་པ་	ཆགས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
དུ་	ལ་	PART
མི་འགྱུར་བ་	མི་འགྱུར་བ་	NO_POS
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
མེད་པ་	མེད་པ་	VERB
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
དང་	དང་	NO_POS
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དང་	དང་	NO_POS
བྱེད་པ་	བྱེད་པ་	VERB
བྱ་	བྱ་	VERB
དཀའ་བ་	དཀའ་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
སྐལ་པ་	སྐལ་པ་	NOUN
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
ཐོབ་པ་	ཐོབ་པ་	VERB
ས་	གིས་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
འདོད་པ་	འདོད་པ་	VERB
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	སྟེ་	PART
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
གྱི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
ལ་	ལ་	PART
རག་	རག་	VERB
ལས་པ་	ལས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
གང་ཡིན་པ་	གང་ཡིན་པ་	NO_POS
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
བག་ཆགས་	བག་ཆགས་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
འགྱུར་བ་	འགྱུར་བ་	VERB
རྨི་ལམ་	རྨི་ལམ་	NOUN
སོགས་	སོགས་	DET
དཔེ་	དཔེ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
སྣང་བ་	སྣང་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
བདུན་	བདུན་	NUM
ལ་	ལ་	PART
ཞེན་	ཞེན་	VERB
སྤྱོད་	སྤྱོད་	VERB
བཀག་	བཀག་	VERB
ན་	ནས་	PART
བདེན་	བདེན་	VERB
མེད་	མེད་	VERB
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དང་	དང་	NO_POS
བཅུ་	བཅུ་	NUM
ཡོད་པ་	ཡོད་པ་	VERB
ས་	གིས་	PART
སོ་	གོ་	PART
།།		PUNCT
ངག་	ངག་	NOUN
དོན་	དོན་	NOUN
།		PUNCT
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
བཅུ་		
ཡོད་	ཡོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
སོགས་	སོགས་	DET
ཀྱི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
ལ་	ལ་	PART
ཞེན་	ཞེན་	VERB
སྤྱོད་	སྤྱོད་	VERB
བཀག་པ་	བཀག་པ་	VERB
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
སོགས་	སོགས་	DET
སུ་	ལ་	PART
ཡོད་པ་	ཡོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
		
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
		
ལ་	ལ་	PART
།		PUNCT
དངོས་བསྟན་	དངོས་བསྟན་	NO_POS
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
གྱི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཤུགས་བསྟན་	ཤུགས་བསྟན་	NO_POS
ཐེག་དམན་	ཐེག་དམན་	NOUN
གྱི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དང་	དང་	NO_POS
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
མི་རྟག་པ་	མི་རྟག་པ་	OTHER
དང་	དང་	NO_POS
།		PUNCT
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
མ་	མ་	PART
རྫོགས་པ་	རྫོགས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།		PUNCT
ཆགས་པ་	ཆགས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
དུ་	ལ་	PART
མི་འགྱུར་བ་	མི་འགྱུར་བ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
མེད་པ་	མེད་པ་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།		PUNCT
གོ་རིམ་	གོ་རིམ་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཉིད་	ཉིད་	DET
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཀྱི་	གི་	PART
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བྱེད་པ་	བྱེད་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བྱ་	བྱ་	VERB
དཀའ་བ་	དཀའ་བ་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།		PUNCT
སྐལ་པ་	སྐལ་པ་	NOUN
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
འཐོབ་པ་	འཐོབ་པ་	VERB
ས་	གིས་	PART
མི་	མི་	PART
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
གྱི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
གྱིས་	གིས་	PART
མི་	མི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
།		PUNCT
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
འགྱུར་བ་	འགྱུར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
མཉམ་	མཉམ་	VERB
དུ་	ལ་	PART
ཚོགས་པ་	ཚོགས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
འགལ་བ་	འགལ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྐྱེན་	རྐྱེན་	NOUN
དང་	དང་	NO_POS
།		PUNCT
མ་	མ་	PART
འཕོས་པ་	འཕོས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྟེན་	རྟེན་	NOUN
མེད་པ་	མེད་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
རྣམས་	རྣམས་	DET
སུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ལ་	ལ་	PART
སྣང་བ་	སྣང་བ་	VERB
བདུན་	བདུན་	NUM
ལ་	ལ་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
བསལ་བ་	བསལ་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	སྟེ་	PART
ལ་	ལ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
བཅུ་	བཅུ་	NUM
རྗེས་སུ་	རྗེས་སུ་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ས་	གིས་	PART
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
འི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊཱིཀ་		NON_WORD
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
གྱི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
དབྱེ་	དབྱེ་	VERB
ན་	ལ་	PART
བཅུ་		
ཡོད་	ཡོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	PART
ཞེན་པ་	ཞེན་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
གཞག་པ་	གཞག་པ་	VERB
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
སོགས་	སོགས་	DET
དེ་དག་	དེ་དག་	OTHER
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
ཁྱད་ཆོས་	ཁྱད་ཆོས་	NOUN
མི་རྟག་པ་	མི་རྟག་པ་	OTHER
དང་	དང་	NO_POS
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
གྱི་	གི་	PART
རྟེན་	རྟེན་	NOUN
དུ་	ལ་	PART
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
མ་	མ་	PART
རྫོགས་པ་	རྫོགས་པ་	VERB
ཀུན་བརྟགས་	ཀུན་བརྟགས་	NO_POS
དང་	དང་	NO_POS
དེ་	དེ་	DET
ར་	ལ་	PART
རྫོགས་པ་	རྫོགས་པ་	VERB
ཉིད་	ཉིད་	DET
ཡོངས་གྲུབ་	ཡོངས་གྲུབ་	NOUN
དང་	དང་	NO_POS
ཤུགས་བསྟན་	ཤུགས་བསྟན་	NO_POS
གཞན་དབང་	གཞན་དབང་	NO_POS
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
དོན་དམ་	དོན་དམ་	NOUN
དུ་	ལ་	PART
ཆགས་པ་	ཆགས་པ་	VERB
དང་	དང་	NO_POS
ཆགས་པ་	ཆགས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
དོན་དམ་	དོན་དམ་	NOUN
དུ་	ལ་	PART
ཤེར་ཕྱིན་	ཤེར་ཕྱིན་	PROPN
གཞན་	གཞན་	DET
དུ་	ལ་	PART
མི་འགྱུར་བ་	མི་འགྱུར་བ་	NO_POS
ར་	ལ་	PART
རྟོགས་	རྟོགས་	VERB
ན་	ནས་	PART
ཤེར་ཕྱིན་	ཤེར་ཕྱིན་	PROPN
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
དོན་དམ་པ་	དོན་དམ་པ་	NOUN
ར་	ལ་	PART
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
མེད་པ་	མེད་པ་	VERB
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
གོ་རིམ་	གོ་རིམ་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཉིད་	ཉིད་	DET
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
ནང་	ནང་	NOUN
ན་	ནས་	PART
རྣམ་མཁྱེན་	རྣམ་མཁྱེན་	NOUN
གྱི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཀྱི་	གི་	PART
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
བྱ་	བྱ་	VERB
དཀའ་བ་	དཀའ་བ་	VERB
དང་	དང་	NO_POS
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
ཀྱི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
སྦྱོར་བ་	སྦྱོར་བ་	VERB
བྱ་	བྱ་	VERB
དཀའ་བ་	དཀའ་བ་	VERB
དང་	དང་	NO_POS
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
ཀྱི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
བྱེད་པ་	བྱེད་པ་	VERB
བྱ་	བྱ་	VERB
དཀའ་བ་	དཀའ་བ་	VERB
སྟེ་	སྟེ་	PART
གསུམ་པོ་	གསུམ་པོ་	NUM
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བྱ་	བྱ་	VERB
དཀའ་བ་	དཀའ་བ་	VERB
ཉིད་	ཉིད་	DET
རྣམ་པ་	རྣམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
སྐལ་བ་	སྐལ་བ་	NOUN
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
ཐོབ་པ་	ཐོབ་པ་	VERB
ས་	གིས་	PART
མི་	མི་	PART
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ལ་	ལ་	PART
དང་	དང་	NO_POS
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
ནུས་པ་	ནུས་པ་	VERB
ས་	གིས་	PART
གཞན་	གཞན་	DET
གྱི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
གྱིས་	གིས་	PART
མི་	མི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
ཞེན་པ་	ཞེན་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
གཞག་པ་	གཞག་པ་	VERB
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བག་ཆགས་	བག་ཆགས་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
འགྱུར་བ་	འགྱུར་བ་	VERB
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
རྨི་ལམ་	རྨི་ལམ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
རྒྱུ་རྐྱེན་	རྒྱུ་རྐྱེན་	OTHER
མཉམ་	མཉམ་	VERB
དུ་	ལ་	PART
ཚོགས་པ་	ཚོགས་པ་	VERB
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
སྣང་ཚུལ་	སྣང་ཚུལ་	VERB
གནས་ཚུལ་	གནས་ཚུལ་	VERB
འགལ་བ་	འགལ་བ་	VERB
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
སྨིག་རྒྱུ་	སྨིག་རྒྱུ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
རྐྱེན་	རྐྱེན་	NOUN
ལ་	ལ་	PART
རག་	རག་	VERB
ལས་པ་	ལས་པ་	VERB
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
སྒྲ་བརྙན་	སྒྲ་བརྙན་	NO_POS
ལྟ་བུ་	ལྟ་བུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
གནས་ཚུལ་	གནས་ཚུལ་	VERB
ལ་མ་	ལ་མ་	NO_POS
འཕོ་	འཕོ་	VERB
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
འཕོས་པ་	འཕོས་པ་	VERB
ར་	ལ་	PART
སྣང་བ་	སྣང་བ་	VERB
ཆུ་ཟླ་	ཆུ་ཟླ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
རྟེན་	རྟེན་	NOUN
བདེན་པ་བ་	བདེན་པ་བ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
དྲི་ཟ་	དྲི་ཟ་	NOUN
འི་	གི་	PART
གྲོང་ཁྱེར་	གྲོང་ཁྱེར་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
ལྟ་བུ་	ལྟ་བུ་	NOUN
སྟེ་	སྟེ་	PART
བདུན་པོ་	བདུན་པོ་	NUM
དེ་	སྟེ་	PART
རྣམས་	རྣམས་	DET
སུ་	ལ་	PART
རང་	རང་	PRON
གི་	གི་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ལ་	ལ་	PART
སྣང་བ་	སྣང་བ་	VERB
འི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
བདུན་	བདུན་	NUM
ལ་	ལ་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
བསལ་བ་	བསལ་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
ལེན་པ་	ལེན་པ་	VERB
འི་	གི་	PART
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
གྱི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
རྣམས་	རྣམས་	DET
སུ་	ལ་	PART
ཡོད་པ་	ཡོད་པ་	VERB
ས་	གིས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཤུགས་བསྟན་	ཤུགས་བསྟན་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
ཤུགས་	ཤུགས་	NOUN
ཀྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
ཇི་སྐད་	ཇི་སྐད་	NO_POS
བཤད་པ་	བཤད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བཟློག་	བཟློག་	VERB
སྟེ་	སྟེ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
།།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
འི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊཱིཀ་		NON_WORD
སྦྱོར་བ་པོ་	སྦྱོར་བ་པོ་	VERB
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
ཡུལ་	ཡུལ་	NOUN
བཅུ་པོ་	བཅུ་པོ་	NUM
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	སྟེ་	PART
ལ་	ལ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
བཅུ་པོ་	བཅུ་པོ་	NUM
རྗེས་སུ་	རྗེས་སུ་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
།		PUNCT
དགོས་པ་	དགོས་པ་	VERB
ཡོད་	ཡོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱི་	གི་	PART
ཤུགས་	ཤུགས་	NOUN
ཀྱིས་	གིས་	PART
ན་	ལ་	PART
ཐེག་དམན་	ཐེག་དམན་	NOUN
གྱི་	གི་	PART
སྦྱོར་བ་པོ་	སྦྱོར་བ་པོ་	VERB
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ནི་	ནི་	NO_POS
གོང་	གོང་	NOUN
དུ་	ལ་	PART
ཇི་སྐད་	ཇི་སྐད་	NO_POS
བཤད་པ་	བཤད་པ་	VERB
ཞེན་	ཞེན་	VERB
སྤྱོད་	སྤྱོད་	VERB
བཀག་པ་	བཀག་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
གོ་	གོ་	PART
བཟློག་	བཟློག་	VERB
སྟེ་	སྟེ་	PART
མཚན་མ་	མཚན་མ་	NOUN
ར་	ལ་	PART
འཛིན་པ་	འཛིན་པ་	VERB
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
ཆེད་	ཆེད་	NOUN
ཡོད་པ་	ཡོད་པ་	VERB
ས་	གིས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
གེགས་	གེགས་	NOUN
སེལ་བ་	སེལ་བ་	VERB
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
དུ་	ལ་	PART
སྒོམ་པ་	སྒོམ་པ་	VERB
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
		
མཚམས་	མཚམས་	NOUN
སྦྱར་	སྦྱར་	VERB
		
ནི་	ནི་	NO_POS
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
ཀྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
སྒོམ་	སྒོམ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
འོག་	འོག་	NOUN
ཏུ་	ལ་	PART
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
།		PUNCT
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
འི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊཱིཀ་		NON_WORD
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
གྱི་	གི་	PART
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
འོག་	འོག་	NOUN
ཏུ་	ལ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
དེ་	དེ་	DET
འི་	གི་	PART
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
འཆད་	འཆད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
ཀྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
སྒོམ་	སྒོམ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ས་	གིས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
		
རྩ་བ་	རྩ་བ་	NOUN
		
ནི་	ནི་	NO_POS
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ལ་	ལ་	PART
རློམ་	རློམ་	NO_POS
མེད་པ་	མེད་པ་	VERB
།།		PUNCT
རྣམ་	རྣམ་	NOUN
བཞི་	བཞི་	NUM
དེ་	སྟེ་	PART
ཡི་	གི་	PART
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
།།		PUNCT
		
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
སྦྱོར་	སྦྱོར་	VERB
ཊཱིཀ་		NON_WORD
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
